leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,puuid,summonerLevel
f73eaa0b-e6e0-4ca4-b515-cb4e24d5001c,RANKED_SOLO_5x5,SILVER,I,AigptB2R196iz96JViWwoOa0SDk1aIS_QWbqv4tKAKOOXMNS,Kateye777,0,23,13,0,0,0,1,Vo8D1W20RopY07gqXgm_VX4BisTjd937HnGIc7r_EXdDIb75JsC7VAC4,zD2KX8GEUjennN9KZ8OjwIsSLKfzCl_xhxjKlSXzbtY-IyY2pTwmG0oVvohXp3Okl5EC7yaEXAbE1w,35
355583cd-4f8a-4664-86b6-6d99eac7e4c7,RANKED_SOLO_5x5,SILVER,I,Nc0OD3joF24_l_7C3FRHuxhbXYTbIMyo2gmcVJpFWik_1Pw5,majorgenius,100,27,15,0,0,0,0,wLtjXfm88FX0YIOUyk26FR8V45XKrxWPyrIsemWFfQ3QxgNGnm3axEHP,EpkIsMy81EphDVstHtluvsuGigfrF-q5izGBgfJ3BwoY6KrnxIG6SaklJzubA9jxM3i0xca9JJbk2g,82
2b023d28-bed9-4432-b46f-05ccdbec2193,RANKED_SOLO_5x5,SILVER,I,2AAnmLNMbgRJgsuz1YmCNP5UCkir6vZZ98uJPFSb4tpHgfj-,piyz,100,38,34,0,0,0,0,q6cRieEOWW-UlU-rpCuZJyigKD3QpGDiifWuwDhZu2dGalnAe7s9YdFd,XxpV9kY8wNKDvg1mUirazuZQ5O-ykWizC1Yz__HBiUQ2L3Txh6FmZSsnfXGAIouk4Id4bARF2LzX9g,37
be1abaa8-ddcd-4cac-bb0d-bab47348f9b4,RANKED_SOLO_5x5,SILVER,I,iBRmi-nMLCwqYcW_jubNK96t6SAmA7LI-hW5JFgWRH3knEg7,TheDarkNexus17,100,87,84,0,0,0,0,5LMhF9BE9mm7fFbQ5DUn-Q0ohcUgmPeUmIp1RbkkqsbBH_JSe1aACMdh,yoBVHNjkb_gTUlr-dciAgG3MXYeK268l9QmtACKqrrcr9YaEVe6Vo6N4k__XMQjKlkhojwJS3JyyoQ,99
b0745077-6a49-483f-9c0f-67c72e2bb4e6,RANKED_SOLO_5x5,SILVER,I,vidZx9m8GV5HwILHYoVSAP5fmQe53xP3t1kJCtt_SgU2G4Ms,ViolinMan,55,17,10,0,0,0,0,lnG-Opq98QMaT7giBE00Y9FwZYZHCEBMsGDdJgVun3q4HfFzH9yQAt10,diAQSK7aOUwuc5RWeWcen189jqTRxpfOzxK8r0htg9NaP760t1gi72Cm35q2DA-8DavqEbNU7znhrg,36
a84eb591-8731-4e66-ba62-dcd4f9441143,RANKED_SOLO_5x5,SILVER,I,dcA3w8SOSV82rwnmw8VEunjemJ_GmagqMlNRDIARi3l5WQ1r,aYukina1234,100,15,15,0,0,0,0,Sf085h1Z8HvZW_kM5lhcG_2PnfVXcF_cjxemuZh6olXu5ZXOC7bOww2x,RORSRdqRmDk8GmoA4smjYCR1yCGFslysbggX7p5mbTfQRE57f2-4Ibcp8bWFHGaEL0jCcEM8tr9wZA,62
0c68890b-6e0f-4d96-9320-bfcc8851e779,RANKED_SOLO_5x5,SILVER,I,xYbCKpplNs10JtZexMOYP4UTvMP-v8x-Ckra43ByYQo-0xtf,Sanseaa,0,35,30,0,0,0,0,CRR5MJJtsMCWjLFLIwpNVATOZGINtynNKlpEzyy_EyKykUUcH1-3xDfx,KN68GLy2BXR12KPHN-GNQzU-8ZM2WKLADGxYYPHWT0PFyfk0_WEwk_XsP-cAbem5aSt-K53GEQfpow,40
4dd8c10d-ffe6-4877-897b-c3c303cc2cd4,RANKED_SOLO_5x5,SILVER,I,mEzhAXv7wt9oRt16veEGD4JWErYmg5N08kfUSq6-nVkZe8se,big chouríco,36,14,20,0,0,0,0,dr4kFf5xJ_t6Wi1bMSPhcGVwbTvCQGkq5YNXPqZXh2aEqcZK3INa5BFG,6CWcBIDG2Y9ATnj0_AmWxPUQy7odEZRtVjX6xfzVOhwWrJdd6DglU-ofoY17YveF6Qw-ICPX5lz0Hg,49
b29ca812-ab56-4dc5-8768-f965aa1a8425,RANKED_SOLO_5x5,SILVER,I,TMis1FBkFWls0g1cn9VleVpc4fHraViyfFwW-W9psu6ZzaA6,Wild Horse III,3,11,13,0,0,0,0,cxwotOn2Q1-BPbvoWaGZgJ-vU1MOI68IBjd45ehZMKEcfqq3pVfc5WW8,piIACt6OMwFfa-TYjjd8PP-iXjA-ddq2YnmRSGJuRHXjxk8xmzdn409scqA3g5HtZVcYGGZo4Ie93Q,38
e3cfe551-8612-4a73-a13a-6d32511d4a11,RANKED_SOLO_5x5,SILVER,I,pu6wxGNZYS3sG_LdhDxYF9aHKKRJsuBRLHjFFWOypbDsbSVp,God0fKnowing,14,288,297,0,0,0,0,lI285vilJUUCG6YKegFWi2H9HaOs0gLV6mONeSBYoMiPgwL0glxJPRQZ,IbE31w7k1ohEn1FBJTsPGcD1yv14goyTWy8Qb75zGijP9icU_6hT4hwNOWAduBldSjZ9dNAYYn6i5g,116
